id_konzole,ime_konzole
61,3DO
116,3DS
48,Acorn Archimedes
32,Adventurevision
122,Amazon Fire TV
141,Amico
39,Amiga
70,Amiga CD32
46,Amstrad CPC
106,Android
12,APF-*1000/IM
8,Apple II
2,Arcade Games
28,Arcadia 2001
7,Astrocade
6,Atari 2600
20,Atari 5200
51,Atari 7800
13,Atari 8-bit
38,Atari ST
81,Bandai Pippin
22,BBC Micro
50,BBS Door
138,Beena
107,BlackBerry
80,Casio Loopy
134,Casio PV-1000
26,Cassette Vision
60,CD-I
4,Channel F
29,Colecovision
24,Commodore 64
15,Commodore PET
75,CPS Changer
23,CreatiVision
125,Dedicated Console
67,Dreamcast
108,DS
87,DVD Player
101,e-Reader
31,EACA Colour Genie 2000
140,Evercade
47,Famicom Disk System
102,Flash
55,FM Towns
30,FM-7
59,Game Boy
91,Game Boy Advance
57,Game Boy Color
86,Game.com
99,GameCube
62,GameGear
54,Genesis
110,Gizmondo
100,GP32
136,HyperScan
16,Intellivision
10,Interton VC4000
112,iOS (iPhone/iPad)
72,Jaguar
82,Jaguar CD
71,LaserActive
33,Linux
58,Lynx
27,Macintosh
36,Mattel Aquarius
17,Microvision
85,Mobile
40,MSX
133,My Vision
105,N-Gage
21,NEC PC88
42,NEC PC98
64,Neo Geo
68,Neo Geo CD
131,Neo Geo Pocket
89,Neo Geo Pocket Color
41,NES
84,Nintendo 64
92,Nintendo 64DD
124,Nintendo Switch
93,Nuon
126,Oculus Go
127,Oculus Quest
3,Odyssey
9,Odyssey^2
69,Online/Browser
44,Oric 1/Atmos
73,OS/2
119,Ouya
96,Palm OS Classic
97,Palm webOS
137,PasoGo
19,PC
79,PC-FX
1,Pinball
142,Playdate
77,Playdia
78,PlayStation
94,PlayStation 2
113,PlayStation 3
120,PlayStation 4
128,PlayStation 5
117,PlayStation Vita
139,Pokemon Mini
109,PSP
5,RCA Studio II
104,Redemption
76,Saturn
74,Sega 32X
65,Sega CD
49,Sega Master System
135,Sega Pico
43,SG-1000
37,Sharp X1
52,Sharp X68000
35,Sinclair ZX81/Spectrum
25,Sord M5
130,Stadia
45,Super Cassette Vision
63,Super Nintendo
66,SuperVision
18,Tandy Color Computer
14,TI-99/4A
123,Tomy Tutor
56,Turbo CD
53,TurboGrafx-16
132,TV Boy
34,Vectrex
11,VIC-20
83,Virtual Boy
114,Wii
118,Wii U
88,Windows Mobile
90,WonderSwan
95,WonderSwan Color
98,Xbox
111,Xbox 360
121,Xbox One
129,Xbox Series X
115,Zeebo
103,Zodiac
